"rank","team","conference","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo"
36,"Georgia Tech","ACC",60.4234146052352,59.4485086612638,61.3983205492066,5.38742550568452,3.58185232792149,1.50408922882948,0.132668770412397,0.933720803339258,0.579205859847723,1.02844179026825,0.520914271753235,1.97430142738618,0.0484435148367855,0.975826260648263,0.609764313377552,1.83881974850913,1.17202889262603,1.56892015212107,0.116666545574043,0.941666727212978,0.572384218369655,1.25211098121837,0.561597789268732,2.22955112207399,0.0257772578325679,0.987111371083716,0.655582192614475,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/ACC/Georgia Tech.png"
37,"Tulane","American Athletic",60.3484815954375,55.3039603355238,65.3930028553512,2.51834791227328,3.50332903598053,0.718844243977338,0.472295597757974,0.763881553271694,0.539998164382728,0.582711221906247,0.509494509101873,1.14370461603883,0.252841842760841,0.873626920802675,0.566081042327748,2.31170059498841,1.32830136988063,1.74034345473585,0.0817987280230856,0.959100635988457,0.599688298840991,1.71283940546773,0.623710409007455,2.74620942785525,0.00602882648069731,0.996985586759651,0.708171758266033,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/American/Tulane.png"
38,"Houston","Big 12",60.0661429703402,58.8562299197597,61.2760560209207,5.49093673458829,3.62900248420673,1.51307053618305,0.130372194805246,0.934869128593829,0.580620403933037,0.893139643733299,0.527771391219862,1.6922850662082,0.0907005203347183,0.954704183088009,0.596504194462158,1.85091865242272,1.20851602861201,1.53156318046399,0.125630264267375,0.937184867866313,0.573082807556617,1.22456797441587,0.591692406171749,2.06960231641104,0.0384896009741096,0.980755199512945,0.652438312861796,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/Houston.png"
39,"Navy","American Athletic",59.247819183762,52.4536297049618,66.0420086625621,-0.317257200292559,3.71986127436647,-0.0852873741498843,0.932038896476192,0.466016464463828,0.501247890786858,0.396429192882997,0.540985124276219,0.732791300709751,0.463745759189576,0.768157136032208,0.547824703312378,2.65547002104948,1.40444037837493,1.89076735612095,0.0586554065942476,0.970672296702876,0.619537502171258,1.65266047689036,0.658352460129408,2.51029741206634,0.0120629516328507,0.993968524183575,0.701302671079985,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/American/Navy.png"
40,"NC State","ACC",57.7876561795184,57.6284012023376,57.9469111566992,4.78481400755819,3.60891351602886,1.32583227231869,0.185001105878084,0.907552369641172,0.570970806129936,0.741033472001358,0.524849821799741,1.41189620577618,0.158089274984631,0.921009737448512,0.581597217916816,1.36068905510184,1.07532996766954,1.26536885980285,0.20573913268962,0.89713043365519,0.544777012398415,0.88922865892705,0.507819437843359,1.75107251251249,0.0799334203223336,0.960033289838833,0.614161210735569,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/ACC/NC State.png"
41,"Nebraska","Big Ten",57.7067554637962,60.3279888549147,55.0855220726777,7.19032543255406,3.60339865362086,1.99542879479319,0.0460908060965398,0.977001933493262,0.603843587125959,0.956524921961588,0.524047786910504,1.82526278300063,0.0680655936473365,0.966019308228974,0.602716189972335,1.07719018185082,1.07159297749593,1.00522325591193,0.314789359340866,0.842605320329567,0.528407823190585,0.531273336540965,0.518711918070541,1.02421656035425,0.305732998498935,0.847133500750533,0.573302618262969,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Nebraska.png"
42,"Kansas State","Big 12",57.3562096968665,62.9325584710568,51.7798609226761,9.20259253851674,3.63146976126574,2.53412341104259,0.0113258230977293,0.994363548867928,0.631342444621481,1.20745953062553,0.528130211102633,2.28629134490259,0.0223099871836291,0.988881390055196,0.627308724799655,0.559261503634967,1.1329018522506,0.493653975870859,0.62155057420125,0.689224712899375,0.498502686592845,0.214060323150772,0.535506468478208,0.399734337026935,0.68935219865468,0.65532390067266,0.537094531860677,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/Kansas State.png"
43,"Auburn","SEC",57.3216323754682,64.2825138666966,50.3607508842397,10.2800181456095,3.60003614095659,2.8555319288761,0.00432744032895744,0.997851759869947,0.646066122777168,1.33271421396382,0.523558771542084,2.54549113949225,0.0109644617982645,0.99454379333848,0.639584154556764,0.426961042134996,1.35723892518973,0.314580604940513,0.753080107060795,0.623459946469602,0.490863674621679,0.0323327015170591,0.601314803698738,0.0537700075204834,0.957118405469093,0.521440797265454,0.516351343063115,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Auburn.png"
44,"Northwestern","Big Ten",57.2919866233108,59.0849922871738,55.4989809594478,5.68121542741555,3.57957613638289,1.58711959487928,0.11259606532924,0.943757219635019,0.583220678341433,0.913291655930167,0.520583241730456,1.75436238188214,0.079475480579611,0.960315783557082,0.598479167402043,1.34132565245322,1.19283393780925,1.12448649383391,0.260806697057401,0.8695966514713,0.543658971970149,0.470105451286981,0.543917820977443,0.864294996700386,0.387425857982555,0.806287071008722,0.566320647218807,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Northwestern.png"
45,"Cincinnati","Big 12",57.2556253930946,58.9498503747471,55.5614004114421,5.9154587310497,3.6162237124774,1.63581105633455,0.101989134472636,0.949060431333368,0.586421755975127,0.853049926808131,0.525912954869097,1.62203634443738,0.104905750035981,0.947602216796625,0.592575251519816,1.06793434305103,1.15620960267682,0.923651162019913,0.355667967180581,0.822166016409709,0.527873392224939,0.619337214277158,0.549821147152639,1.12643396399815,0.259981877384901,0.870009061307549,0.583354616003902,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/Cincinnati.png"
