"rank","team","conference","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","division_i","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
19,"Illinois","Big Ten",74.4876038585332,78.1700832188221,70.8051244982443,24.2185037766507,2.53099194417191,9.56877947889894,1.56093820059509e-21,1,0.781964900437035,1,8.48697360955898,0.87899376988052,9.65532851354862,6.82349501887072e-22,1,0.781436763939406,4.44124735684331,2.82597191523866,1.57158226976514,0.116047461033559,0.94197626948322,0.68754734820281,2.09439676102701,0.813753822042479,2.57374737211087,0.0100603700722477,0.994969814963876,0.728555141762076,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Illinois.png","#EC6A2D"
20,"SMU","ACC",74.4609368283011,64.5923950739046,84.3294785826976,15.1576142656536,2.54082016277522,5.96563837446001,2.58128064152245e-09,0.999999998781603,0.644317001915451,1,5.43343182156184,0.882407033577872,6.15751191321658,7.88714715658522e-10,0.999999999630517,0.64753089956264,7.40619959111235,5.67692742214056,1.30461410555074,0.192024282706612,0.903987858646694,0.816601498978952,3.19524394791423,1.19089288761139,2.68306577455764,0.00729506411375235,0.996352467943124,0.869988072675001,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/SMU.png","#354CA1"
21,"Tennessee","SEC",73.8637034825178,71.1265804760006,76.6008264890349,19.8044955475654,2.4240864877985,8.1698799309555,3.75899179177323e-16,1,0.714909788899348,1,6.80372385009941,0.841866338347267,8.0817150421483,7.71285977546855e-16,1,0.707621820620665,6.26403006755376,3.23849336168506,1.93424205887347,0.0530833734326461,0.973458313283677,0.766886796596374,2.37907611977918,0.824106542709256,2.88685503206655,0.0038911346878383,0.998054432656081,0.765129733184324,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Tennessee.png","#EF8933"
22,"George Mason","Atlantic 10",73.4074326983144,60.7172357313586,86.0976296652701,12.7498460961592,2.73983433347816,4.65350986385135,3.33615792918769e-06,0.999998368340074,0.607739552399505,1,4.50017583805005,0.951523103492135,4.72944463621975,2.30485315032793e-06,0.999998874325818,0.606605162227667,8.58021247846001,5.57703454100876,1.5384901089223,0.123928825120294,0.938035587439853,0.867702233225435,3.07274902027288,1.22516796885519,2.50802265353385,0.0121408883314095,0.993929555834295,0.854250360079967,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/George Mason.png","#333333"
23,"Colorado","Big 12",73.3480733546913,59.4618830430641,87.2342636663184,11.7798147586801,2.98765740756572,3.94282648634672,8.14787837947613e-05,0.99995973654166,0.593003386050492,1,4.26368180357713,1.03759012502383,4.10921586544513,4.02497478214994e-05,0.999980149757667,0.596234274810791,8.58756580068452,5.16793084374326,1.66170292527837,0.0965723543189973,0.951713822840501,0.868022297995484,3.24719824005854,1.23052694609614,2.63886804783943,0.00831833513801076,0.995840832430995,0.876662975330885,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Colorado.png","#565A5C"
24,"BYU","Big 12",72.5443952781837,75.2143240879132,69.8744664684541,22.5642939322058,2.96841785426388,7.60145472774127,3.39670245911623e-14,0.999999999999985,0.756835081943474,1,7.71198343255804,1.03090837815911,7.48076511545019,8.49433155021586e-14,0.999999999999963,0.74745139981479,4.4332128912622,3.13452026452538,1.41431942279482,0.15726813666133,0.921365931669335,0.687197635610301,1.95224270095406,0.897044931995213,2.1763042533576,0.0295325177177776,0.985233741141111,0.710291693758781,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/BYU.png","#002E5D"
25,"Iowa","Big Ten",72.3868308457993,69.6764294942685,75.0972321973301,18.6545465891257,2.54431692211179,7.33184864943725,2.58211306091691e-13,0.999999999999887,0.697440416014467,1,6.54071466463682,0.883621430833736,7.4021684359391,1.53150080536826e-13,0.999999999999933,0.696088173870902,4.47391070099942,4.18053255347175,1.07017721875746,0.284539546590774,0.857730226704613,0.688969070985678,2.75148555640999,1.10123851291178,2.49853735058248,0.0124707000122361,0.993764649993882,0.812975572960924,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Iowa.png","#000000"
26,"St. John's","Big East",72.0008474118536,79.0879464726324,64.9137483510747,25.4772205649102,2.52484221401847,10.0906189002446,9.55197649026183e-24,1,0.801086612552327,1,8.46954143069646,0.87685801654327,9.65896561462127,6.58927047935057e-22,1,0.780672316900322,3.35713522557599,1.80368927959667,1.86126028665352,0.0627074284848562,0.968646285757572,0.640359683986928,1.54456943820806,0.664131404190287,2.32569854167823,0.020034638349789,0.989982680825106,0.657915283034566,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/St. John's.png","#B22935"
27,"Houston","Big 12",71.8880390998686,68.5654214972288,75.2106567025084,17.8356784955632,2.38357480957353,7.48274332482744,8.36860665658775e-14,0.999999999999964,0.685000636000766,1,6.31768635330138,0.827796948340257,7.63192757108905,2.68901780497312e-14,0.999999999999988,0.686307793943811,5.30514656190057,2.53205303015118,2.09519567668131,0.0361536014445513,0.981923199277724,0.72514990279922,2.48752789300578,0.772742269106343,3.21909127073189,0.00128597546322485,0.999357012268388,0.779063231250949,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Houston.png","#C92A39"
28,"Michigan State","Big Ten",71.3546410658723,67.9244694868125,74.7848126449321,17.561817591497,2.72494477454784,6.44483431573807,1.25092626763106e-10,0.999999999942137,0.680840296346897,1,6.12023642012746,0.946352075758855,6.46718761114335,1.08038343956621e-10,0.999999999950078,0.677649093389354,4.37714477789213,4.47657988947389,0.977787705338272,0.328179333043854,0.835910333478073,0.684757183898142,2.73563437068226,1.14725407392667,2.38450612889881,0.0171020631323947,0.991448968433803,0.8109390690005,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Michigan State.png","#24443B"
